"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Georgia","GEO","Labor force participation rate for ages 15-24, male (%) (national estimate)","SL.TLF.ACTI.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.5","45.79","45.03","44.17","46.19","39.29","41.75","38.3","36.1","40.97","48.764","50.4","53.107","53.918","53.917","53.776","52.251","51.14","50.126","47.487","45.682","47.495","","","",
"Georgia","GEO","Children in employment, work only (% of children in employment, ages 7-14)","SL.TLF.0714.WK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Children in employment, work only, female (% of female children in employment, ages 7-14)","SL.TLF.0714.WK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Children in employment, study and work, male (% of male children in employment, ages 7-14)","SL.TLF.0714.SW.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Children in employment, male (% of male children ages 7-14)","SL.TLF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.6","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Employment in services, female (% of female employment) (modeled ILO estimate)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.4647052448712","42.4367689023553","42.3887351328777","42.7964778617373","43.2311076816995","43.5302831297341","43.6758919626203","43.3873281862283","40.8812888812547","38.2435741759546","41.2343632104657","41.1885144032398","38.9200660489239","39.4356779887671","38.3808","38.649892635111","39.6464484414067","41.9304754449032","44.0194998083557","45.7701675001576","42.7162321476907","44.3319723988136","44.8459534418941","45.8292057626452","47.7680622550543","48.256760215786","48.8081005306279","52.7388952671581","54.1090890785069","51.417568687544","51.4494294509624","52.6634367155318","",
"Georgia","GEO","Children in employment, self-employed (% of children in employment, ages 7-14)","SL.SLF.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Child employment in manufacturing, male (% of male economically active children ages 7-14)","SL.MNF.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Employment in industry, female (% of female employment) (modeled ILO estimate)","SL.IND.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3299628579967","7.17647737041376","7.02488108869525","6.81142999884023","6.55044974543916","6.25156773091318","5.91254341501732","5.64500227142246","4.9602639044328","4.02429455565882","5.92410236642133","3.5052874116019","4.22293214097246","4.06375944148814","4.41042962962963","3.95428065524376","3.73953420792948","3.72613808036404","3.8448639325412","4.2108554100145","5.2175630932329","4.75836155095308","4.78428893352775","5.11892968845653","5.11514473916241","6.04869673568148","5.50215137823249","5.897759046027","5.70037000679604","5.82914560282036","5.85854340005192","5.89258163561467","",
"Georgia","GEO","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1884849937768","40.2340868898795","40.0465375800801","40.2647848622994","39.7755194737677","41.5084780912691","41.2382931989036","40.5886306863182","40.5026517402479","37.1154511474565","40.494178947403","37.1649055469491","38.6351023928549","37.5478414844463","38.8594962962963","38.8850913030665","38.2249774489802","34.812809442395","32.7241972232869","31.2850513282033","33.1279080358323","33.2985415631451","32.0923106728799","31.0894189493524","29.9139998296551","29.2821541894261","27.2194876585348","24.9591437578767","24.9695436582849","24.6784398857232","23.9008740588723","23.4931845145653","",
