"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Croatia","HRV","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3508800575062","48.153525451046","48.6480721000798","49.4045394759375","50.2558148252946","50.9651399542783","52.6897568947039","53.194287789232","53.8620759580011","54.1914108289819","54.2943498741462","54.6260162150737","52.8830861343366","53.3946440594261","54.0716446844086","56.4085073193775","57.0029608454012","56.3294806823091","57.6668123074479","58.2939932197554","57.460386218863","59.8349032747304","61.5886923618843","63.5016049906123","64.0600909418013","65.4232040583367","66.6050746330285","66.3366307029724","66.1398383835754","65.2966624718538","64.4271023834507","65.7144417157379","",
"Croatia","HRV","Child employment in services, male (% of male economically active children ages 7-14)","SL.SRV.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Children in employment, self-employed, female (% of female children in employment, ages 7-14)","SL.SLF.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Employment in industry (% of total employment) (modeled ILO estimate)","SL.IND.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0033919330632","29.3852906023321","29.3539089763736","29.3414278681762","29.1478950160401","29.1448358410461","29.5388851749276","29.5128134627178","29.2208906970287","29.3119023860961","29.7166002344522","29.8231278935132","30.2517029149441","29.6401943080891","28.6283120575815","29.3491692772518","30.6429159502497","30.8536293902394","29.0089583066434","27.4517319052441","27.9512879507919","27.9116376290859","27.6250867680994","26.9796146003674","26.7122432124567","26.9742933172044","26.4155136629873","27.4223467655997","27.6662065227617","28.2373589072271","28.7694798381052","28.3896529662913","",
"Croatia","HRV","Contributing family workers, total (% of total employment) (modeled ILO estimate)","SL.FAM.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39414969899754","8.57869744457246","8.91006354968395","8.80091523588641","8.17451999094134","7.89680797259408","7.484321777608","6.20216888567589","5.65629367446801","4.91950679596602","4.77716295655388","4.75224779718649","4.06300940244575","3.19822551245505","2.40565353680711","2.23139677429474","2.30129973608016","2.17234832101181","2.36821980158914","2.62107808098955","2.78704601678144","2.34822102278546","1.61057118477513","1.48669826176488","1.9297633984418","1.41472894638668","1.34577398550817","1.27756628526254","1.20848424100811","0.946665605909382","1.57373707090391","1.14815373129191","",
"Croatia","HRV","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.3555962270806","72.1733328524543","71.592396812249","71.3021980052378","71.6630317029288","72.1112841319792","74.9182800339926","76.7206682059629","76.6283565196701","77.9573535163243","79.1350275995405","78.3846407082869","77.1424533834533","76.8728789993788","75.6689047138404","78.762190156851","80.9415168740718","80.8005137790174","80.9470240826537","78.7912319057666","79.0034362875731","81.913598224811","84.5461656094961","87.6518769163654","87.6805727422146","89.4603886113696","89.7297001532064","90.0341477535441","90.839673824762","91.4900019038921","90.9658605206208","90.5539235495871","",
"Croatia","HRV","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.677","50.323","49.978","49.715","49.424","49.117","48.619","47.241","45.622","43.852","43.527","43.469","43.29","44.163","43.368","43.715","47.685","48.589","48.233","46.47","44.748","43.187","42.07","43.307","44.198","44.597","45.825","46.875","47.717","47.198","47.84","48.66","49.327",
"Croatia","HRV","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.115","40.97","40.829","40.758","40.673","40.587","40.381","39.33","38.063","36.651","36.238","36.325","36.08","36.91","36.667","37.329","40.026","41.015","41.716","40.465","38.491","37.421","37.109","37.937","38.938","39.147","40.117","41.226","41.904","41.254","42.076","43.095","44.499",
"Croatia","HRV","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6285857772619","26.9047174805585","27.6413032350992","28.5959259657036","29.152928681487","29.0710257128041","26.5716451515638","25.7259515259533","25.9874294070655","25.2922215102263","26.8971036310385","26.0652646494517","25.6695095360327","24.8983299741796","25.3451197891737","24.3903908527666","22.1391453508905","22.2074119938958","22.3532856399903","22.36484087224","22.4266599176919","21.1236091856062","20.3194084921299","18.3656634568911","18.5128983308043","16.740286111935","15.2562219929541","13.8463569892","15.0136823797672","15.6478533728151","16.5151600202963","16.9004796754112","",
