,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
35,Hou toch van mij,Bob Benny,Belgium,1959,['Dutch'],6.0,9.0,,,
36,"Uh, jeg ville ønske jeg var dig",Birthe Wilke,Denmark,1959,['Danish'],5.0,12.0,,,
37,"Oui, oui, oui, oui",Jean Philippe,France,1959,['French'],3.0,15.0,,,
38,Heute Abend wollen wir tanzen geh'n,Alice & Ellen Kessler,Germany,1959,['German'],8.0,5.0,,,
39,"Piove (Ciao, ciao bambina)",Domenico Modugno,Italy,1959,['Italian'],6.0,9.0,,,
40,Mon ami Pierrot,Jacques Pills,Monaco,1959,['French'],11.0,1.0,,,
41,Een beetje,Teddy Scholten,Netherlands,1959,['Dutch'],1.0,21.0,,,
42,Augustin,Brita Borg,Sweden,1959,['Swedish'],9.0,4.0,,,
43,Irgendwoher,Christa Williams,Switzerland,1959,['German'],4.0,14.0,,,
44,"Sing, Little Birdie",Pearl Carr & Teddy Johnson,United Kingdom,1959,['English'],2.0,16.0,,,
45,Du hast mich so fasziniert,Harry Winter,Austria,1960,['German'],7.0,6.0,,,
46,Mon amour pour toi,Fud Leclerc,Belgium,1960,['French'],6.0,9.0,,,
47,Det var en yndig tid,Katy Bødtger,Denmark,1960,['Danish'],10.0,4.0,,,
48,Tom Pillibi,Jacqueline Boyer,France,1960,['French'],1.0,32.0,,,
49,Bonne nuit ma chérie,Wyn Hoop,Germany,1960,['German'],4.0,11.0,,,
50,Romantica,Renato Rascel,Italy,1960,['Italian'],8.0,5.0,,,
51,So laang we's du do bast,Camillo Felgen,Luxembourg,1960,['Luxembourgish'],13.0,1.0,,,
52,Ce soir-là,François Deguelt,Monaco,1960,['French'],3.0,15.0,,,
